,Number,Na2O,K2O,Al2O3,SiO2,CaO,MgO,Fe2O3,S,PPP,P2O5,Albit,GidroSl,Mont,Clay,Q,Dolomit,Calcit,Carb,Pyrit,Siderit,UV,Kerogen,OV,Appatit,well,field
2795,28.11,0.96,1.53,8.83,52.63,1.84,1.0,3.71,5.52,22.39,0.63,8.122838709677419,17.0,10.753225806451617,27.753225806451617,33.65737096774194,0.34268416980175487,3.097114015221073,3.439798185022828,6.628639264654875,0.0,1.6799999999999997,17.491421561282788,19.171421561282788,0.0,6П,Тайтымское
2796,28.54,0.38,0.52,3.5,11.19,32.12,11.88,2.21,1.97,33.79,0.28,3.2152903225806453,5.777777777777778,5.7075268817204305,11.485304659498208,3.3823655913978476,52.60733649362162,28.75470359261752,81.36204008623913,3.6822429906542054,0.5140050025915519,0.0,3.216491274509381,3.216491274509381,0.0,6П,Тайтымское
2797,28.85,0.86,1.37,8.24,53.5,0.88,0.82,3.83,5.95,23.48,0.22,7.276709677419355,15.222222222222223,11.29247311827957,26.514695340501795,35.66063440860215,0.0,1.5701960784313724,1.5701960784313724,6.9638190156858215,0.0,1.6629999999999996,18.712834593588063,20.375834593588063,0.0,6П,Тайтымское
2798,29.04,0.87,1.42,8.38,54.89,0.59,0.87,3.06,4.66,24.02,0.28,7.361322580645161,15.777777777777777,11.076881720430116,26.854659498207894,36.84409139784946,0.0,1.0527450980392155,1.0527450980392155,5.285618722781054,0.0,2.255,19.580299797440336,21.835299797440335,0.0,6П,Тайтымское
2799,29.11,0.96,1.42,8.3,55.84,0.65,0.88,3.64,5.52,21.75,0.22,8.122838709677419,15.777777777777777,9.936559139784954,25.714336917562733,37.85220430107527,0.10457921621293002,1.103033967431348,1.207613183644278,6.57682683932632,0.0,2.4659999999999997,16.067791132415287,18.53379113241529,0.0,6П,Тайтымское
2800,29.29,0.95,1.62,10.0,51.73,0.8,1.03,3.66,5.04,23.96,0.22,8.038225806451612,18.0,15.185483870967747,33.185483870967744,30.09008064516128,0.0,1.427450980392157,1.427450980392157,6.295440513354146,0.0,2.2409999999999997,18.701617197025836,20.942617197025836,0.0,6П,Тайтымское
2801,29.62,1.13,1.52,9.39,55.2,1.31,0.96,5.19,6.87,17.44,0.18,9.561258064516128,16.88888888888889,12.321505376344092,29.21039426523298,34.490473118279574,0.0,2.337450980392157,2.337450980392157,9.757181716576099,0.0,1.8189999999999997,9.474143373497695,11.293143373497694,0.0,6П,Тайтымское
2802,30.14,0.78,1.27,8.18,58.34,4.95,0.83,3.39,5.08,16.33,0.14,6.599806451612904,14.11111111111111,13.317204301075268,27.42831541218638,40.44997849462366,0.0,8.83235294117647,8.83235294117647,6.0008120399275455,0.0,1.2360000000000007,12.862717260514687,14.098717260514688,0.0,6П,Тайтымское
2803,30.37,0.77,1.37,8.29,51.94,3.31,0.8,5.02,7.01,20.48,0.2,6.515193548387097,15.222222222222223,12.28279569892473,27.50501792114695,34.119021505376345,0.0,5.906078431372548,5.906078431372548,9.48483670559217,0.0,1.6200000000000003,11.954443352334744,13.574443352334745,0.0,6П,Тайтымское
2804,30.91,0.45,0.92,5.33,37.29,25.04,0.69,3.47,5.15,20.63,0.4,3.8075806451612904,10.222222222222221,7.615053763440862,17.837275985663084,26.035731182795697,0.4366305279104443,44.44219445067887,44.878824978589314,6.606455158592516,0.0,0.0,12.185825973912193,12.185825973912193,0.0,6П,Тайтымское
